title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential
The Long Walk,,4.0,https://letterboxd.com/film/the-long-walk/,the-long-walk,0,0,6.9,"Drama, Horror, Mystery",Mattie Do,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,5 wins & 4 nominations total,116 min,Laos,Lao,True,0.0,0.0,,-2.9000000000000004
Weapons,,4.0,https://letterboxd.com/film/weapons/,weapons,119404498,0,7.8,"Horror, Mystery",Zach Cregger,"Julia Garner, Josh Brolin, Alden Ehrenreich","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",1 nomination total,128 min,United States,English,False,119.4,0.0,,-3.8
The Naked Gun,,4.0,https://letterboxd.com/film/the-naked-gun/,the-naked-gun,48738452,0,7.0,"Action, Comedy, Crime",Akiva Schaffer,"Liam Neeson, Pamela Anderson, Paul Walter Hauser",Only one man has the particular set of skills - to lead Police Squad and save the world.,N/A,85 min,"United States, Canada",English,True,48.74,0.0,,-3.0
The Thursday Murder Club,,4.0,https://letterboxd.com/film/the-thursday-murder-club/,the-thursday-murder-club,0,0,6.9,"Comedy, Crime, Mystery",Chris Columbus,"Helen Mirren, Pierce Brosnan, Ben Kingsley","Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hands.",1 win total,118 min,United States,English,True,0.0,0.0,,-2.9000000000000004
Good Will Hunting,,4.0,https://letterboxd.com/film/good-will-hunting/,good-will-hunting,138433435,0,8.3,"Drama, Romance",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck","A therapist counsels Will Hunting, a janitor with a genius IQ.",Won 2 Oscars. 25 wins & 61 nominations total,126 min,United States,English,False,138.43,0.0,,-4.300000000000001
Dead Poets Society,,4.0,https://letterboxd.com/film/dead-poets-society/,dead-poets-society,95860116,0,8.1,"Comedy, Drama",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Won 1 Oscar. 20 wins & 19 nominations total,128 min,United States,"English, Latin, French",False,95.86,0.0,,-4.1
Honey Don't!,,4.0,https://letterboxd.com/film/honey-dont!/,honey-dont!,5810510,0,5.3,"Comedy, Crime, Mystery",Ethan Coen,"Margaret Qualley, Aubrey Plaza, Chris Evans","A dark comedy about small-town private investigator Honey O'Donahue, who delves into a series of strange deaths tied to a mysterious church.",N/A,89 min,"United Kingdom, United States",English,True,5.81,0.0,,-1.2999999999999998
Thunderbolts*,,4.0,https://letterboxd.com/film/thunderbolts*/,thunderbolts*,190274328,0,7.2,"Action, Adventure, Crime",Jake Schreier,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus","After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.",2 wins & 13 nominations total,127 min,"United States, Australia, Canada","English, Russian, Italian",False,190.27,0.0,,-3.2
The Conjuring,,4.0,https://letterboxd.com/film/the-conjuring/,the-conjuring,137446368,0,7.5,"Horror, Mystery, Thriller",James Wan,"Patrick Wilson, Vera Farmiga, Ron Livingston",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,15 wins & 22 nominations total,112 min,United States,"English, Latin",False,137.45,0.0,,-3.5
Materialists,,4.0,https://letterboxd.com/film/materialists/,materialists,36503614,0,6.4,"Comedy, Romance",Celine Song,"Dakota Johnson, Chris Evans, Pedro Pascal",An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,6 nominations total,116 min,"United States, Finland",English,True,36.5,0.0,,-2.4000000000000004
Caught Stealing,,4.0,https://letterboxd.com/film/caught-stealing/,caught-stealing,0,0,7.3,"Comedy, Crime, Thriller",Darren Aronofsky,"Austin Butler, Regina King, Zoë Kravitz","Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigate a treacherous underworld he never imag...",N/A,107 min,United States,English,True,0.0,0.0,,-3.3
Sinners,,4.0,https://letterboxd.com/film/sinners/,sinners,278578513,0,7.6,"Action, Drama, Horror",Ryan Coogler,"Michael B. Jordan, Miles Caton, Saul Williams","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",12 wins & 14 nominations total,137 min,"United States, Australia, Canada","English, Chinese",False,278.58,0.0,,-3.5999999999999996
KPop Demon Hunters,,4.0,https://letterboxd.com/film/kpop-demon-hunters/,kpop-demon-hunters,18000000,0,7.7,"Animation, Action, Adventure","Chris Appelhans, Maggie Kang","Arden Cho, May Hong, Ji-young Yoo",A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.,N/A,95 min,"United States, Canada","English, Korean",True,18.0,0.0,,-3.7
