title,year,letterboxd_rating,box_office,imdb_rating,genre,director,plot,runtime,country,actors,awards,is_underperformer,box_office_millions,rating_differential,combined_rating
Good Will Hunting,1997,4.0,138433435,8.3,"Drama, Romance",Gus Van Sant,"A therapist counsels Will Hunting, a janitor with a genius IQ.",126 min,United States,"Robin Williams, Matt Damon, Ben Affleck",Won 2 Oscars. 25 wins & 61 nominations total,False,138.43,-4.300000000000001,6.075
HIM,2018,4.0,0,7.7,"Short, Drama",Runar Þór Sigurbjörnsson,"Andri, an anxious teenage boy, hides and represses his sexuality in fear of his masculine father's reaction but, on the eve of Andri's first date, he finds a clever way to reveal his secret.",14 min,Iceland,"Ásgeir Sigurðsson, Bryndís Ásmundsdóttir, David Gudbrandsson",N/A,True,0.0,-3.7,5.925
The Conjuring,2013,4.0,137446368,7.5,"Horror, Mystery, Thriller",James Wan,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,112 min,United States,"Patrick Wilson, Vera Farmiga, Ron Livingston",15 wins & 22 nominations total,False,137.45,-3.5,5.875
Together,2000,4.0,1034829,7.4,"Comedy, Drama, Romance",Lukas Moodysson,"In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids.",106 min,"Sweden, Denmark, Italy","Lisa Lindgren, Michael Nyqvist, Emma Samuelsson",15 wins & 16 nominations,True,1.03,-3.4000000000000004,5.85
The Long Walk,2019,4.0,0,6.9,"Drama, Horror, Mystery",Mattie Do,An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,116 min,Laos,"Yannawoutthi Chanthalungsy, Vilouna Phetmany, Por Silatsa",5 wins & 4 nominations total,True,0.0,-2.9000000000000004,5.725
