title,year,letterboxd_rating,letterboxd_url,slug,box_office,budget,imdb_rating,genre,director,actors,plot,awards,runtime,country,language,is_underperformer,box_office_millions,budget_millions,roi,rating_differential
Parasite,2019,4.6,https://letterboxd.com/film/parasite-2019/,parasite-2019,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.6
Portrait of a Lady on Fire,2019,4.5,https://letterboxd.com/film/portrait-of-a-lady-on-fire/,portrait-of-a-lady-on-fire,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.5
The Lighthouse,2019,4.2,https://letterboxd.com/film/the-lighthouse-2019/,the-lighthouse-2019,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.2
Minari,2020,4.1,https://letterboxd.com/film/minari/,minari,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.1
Sound of Metal,2019,4.1,https://letterboxd.com/film/sound-of-metal/,sound-of-metal,0,0,0,Unknown,Unknown,Unknown,No data available,N/A,N/A,Unknown,Unknown,True,0.0,0.0,,4.1
